publisher,filename,db_source,matched_title,db_pdf_ref,score
liberals,the-economic-and-social-history-of-continental-europe-and-britain-c-1000-1914-an-introductory-annota.pdf,sql:language_pdf,"The Economic & Social History of Continental Europe & Britain, c. 1000-1914: An Introductory, Annota",314132119.pdf,100
liberals,the-essential-frederic-bastist.pdf,sql:language_pdf,The Essential Fr̩d̩ric Bastist,265143799.pdf,90
liberals,the-indian-libertarian-february-1-1958.pdf,sql:wp_periodicals_details(date),The Indian Libertarian 19580201,PDF_23_kz91g819580201.pdf,100
liberals,the-indian-libertarian-june-15-1957.pdf,sql:wp_periodicals_details(date),The Indian Libertarian 19570615,PDF_9_g5sr6y19570615.pdf,100
liberals,the-indian-libertarian-sep-1-1957.pdf,sql:wp_periodicals_details(date),The Indian Libertarian 19570901,PDF_14_pgq3h919570901.pdf,100
liberals,towards-a-responsible-press-shri-c-rajagopalachari-speeches-on-the-press-bill-in-parliament.pdf,sql:language_pdf,Towards a Responsible Press: Shri C. Rajagopalachari s Speeches on the Press Bill in Parliament,1956363872.pdf,100
liberals,visionaries-of-a-new-bharat-shetkari-sanghatana.pdf,sql:language_pdf,Visionaries of a New Bharat - Shetkari Sanghatana ,1599523700.pdf,100
liberals,we-indians-minoo-masani-1989.pdf,sql:language_pdf,We Indians : Minoo Masani (1989),794584942.pdf,100
marathi,soviet-samarajya-uday-ani-astha-original-c-1.pdf,sql:language_pdf,Soviet Samarajya Uday Ani Astha - Original C1,96486240.pdf,97
marathi,soviet-samarajya-uday-ani-astha-translated-c-1.pdf,sql:language_pdf,Soviet Samarajya Uday Ani Astha - Translated c1,2073732188.pdf,97
the-indian-libertarian,the-indian-libertarian-apr1-1962-2.pdf,sql:wp_periodicals_details(date),The Indian Libertarian 19620401,PDF_126_jwgapa19620401.pdf,100
the-indian-libertarian,the-indian-libertarian-feb1-1958.pdf,sql:wp_periodicals_details(date),The Indian Libertarian 19580201,PDF_23_kz91g819580201.pdf,100
the-indian-libertarian,the-indian-libertarian-jan15-1961.pdf,sql:language_pdf,The Indian Libertarian,787399671.pdf,100
the-indian-libertarian,the-indian-libertarian-mar1-1958.pdf,sql:wp_periodicals_details(date),The Indian Libertarian 19580301,PDF_25_7z9moi19580301.pdf,100
the-indian-libertarian,the-indian-libertarian-oct15-1957.pdf,sql:wp_periodicals_details(date),The Indian Libertarian 19571015,PDF_17_zznvv319571015.pdf,100
the-indian-libertarian,the-indian-libertarian-sept1-1957.pdf,sql:wp_periodicals_details(date),The Indian Libertarian 19570901,PDF_14_pgq3h919570901.pdf,100
