publisher,filename,match,prod_slug,page_title,year,pdf_url,source_url
forum-of-free-enterprise,the-dollar-and-the-international-monetary-system-arthur-f-burns-october-12-1979.pdf,exact,the-dollar-and-the-international-monetary-system-by-arthur-f-burns-october-12-1979,"The Dollar and The International Monetary System by Arthur F. Burns (October 12, 1979)",1979,https://indianliberals.in/forum-of-free-enterprise/the-dollar-and-the-international-monetary-system-arthur-f-burns-october-12-1979.pdf,https://indianliberals.in/content/the-dollar-and-the-international-monetary-system-by-arthur-f-burns-october-12-1979/
forum-of-free-enterprise,the-economic-environment-in-india-1967-n-a-palkhivala-august-11-1967.pdf,exact,the-economic-environment-in-india-1967-by-n-a-palkhivala-august-11-1967,"The Economic Environment in India -1967 by N. A. Palkhivala (August 11, 1967)",1967,https://indianliberals.in/forum-of-free-enterprise/the-economic-environment-in-india-1967-n-a-palkhivala-august-11-1967.pdf,https://indianliberals.in/content/the-economic-environment-in-india-1967-by-n-a-palkhivala-august-11-1967/
forum-of-free-enterprise,the-economic-impliactions-of-union-budget-1970-prof-r-j-taraporevala-march-15-1970.pdf,exact,the-economic-implications-if-the-union-budget-1970-by-prof-r-j-trarporevala-march-15-1970,"The Economic implications if the Union Budget 1970 by Prof R.J.Trarporevala (March 15, 1970)",1970,https://indianliberals.in/forum-of-free-enterprise/the-economic-impliactions-of-union-budget-1970-prof-r-j-taraporevala-march-15-1970.pdf,https://indianliberals.in/content/the-economic-implications-if-the-union-budget-1970-by-prof-r-j-trarporevala-march-15-1970/
forum-of-free-enterprise,the-economic-implications-of-the-union-budget-1969-1970-professor-russi-jal-taraporevala-april-15-1969.pdf,exact,the-economic-implications-of-the-union-budget-1969-70-by-professor-russi-jal-taraporevala-15-april-1969,The Economic Implications of the Union Budget 1969-70 by Professor Russi Jal Taraporevala (15 April 1969),1969,https://indianliberals.in/forum-of-free-enterprise/the-economic-implications-of-the-union-budget-1969-1970-professor-russi-jal-taraporevala-april-15-1969.pdf,https://indianliberals.in/content/the-economic-implications-of-the-union-budget-1969-70-by-professor-russi-jal-taraporevala-15-april-1969/
forum-of-free-enterprise,the-economic-implications-of-the-union-budget-1972-1973-professor-russi-jal-taraporevala-may-15-1972.pdf,exact,the-economic-implications-of-the-union-budget-1972-73-by-professor-russi-jal-taraporevala-15-may-1972,The Economic Implications of the Union Budget (1972-73) by Professor Russi Jal Taraporevala (15 May 1972),1972,https://indianliberals.in/forum-of-free-enterprise/the-economic-implications-of-the-union-budget-1972-1973-professor-russi-jal-taraporevala-may-15-1972.pdf,https://indianliberals.in/content/the-economic-implications-of-the-union-budget-1972-73-by-professor-russi-jal-taraporevala-15-may-1972/
forum-of-free-enterprise,the-economic-implications-of-the-union-budget-1973-74-prof-r-j-taraporevala.pdf,exact,the-economic-implications-of-the-union-budget-1973-74-by-professor-russi-jal-taraporevala-march-1973,"The Economic implications of the Union Budget, 1973-74 by Professor Russi Jal Taraporevala (March 1973)",1973,https://indianliberals.in/forum-of-free-enterprise/the-economic-implications-of-the-union-budget-1973-74-prof-r-j-taraporevala.pdf,https://indianliberals.in/content/the-economic-implications-of-the-union-budget-1973-74-by-professor-russi-jal-taraporevala-march-1973/
forum-of-free-enterprise,the-economic-implications-of-the-union-budget-1974-1975-professor-russi-jal-taraporevala-april-20-1974.pdf,exact,the-economic-implications-of-the-union-budget-1974-75-by-professor-russi-jal-taraporevala-20-april-1974,"The Economic implications of the Union Budget, 1974-75 by Professor Russi Jal Taraporevala (20 April 1974)",1974,https://indianliberals.in/forum-of-free-enterprise/the-economic-implications-of-the-union-budget-1974-1975-professor-russi-jal-taraporevala-april-20-1974.pdf,https://indianliberals.in/content/the-economic-implications-of-the-union-budget-1974-75-by-professor-russi-jal-taraporevala-20-april-1974/
forum-of-free-enterprise,the-economic-implications-of-the-union-budget-1974-75-professor-russi-jal-taraporevala-april-1974.pdf,exact,the-economic-implications-of-the-union-budget-1974-75-by-professor-russi-jal-taraporevala-april-1974,"THE ECONOMIC IMPLICATIONS OF THE UNION BUDGET, 1974-75 by Professor Russi Jal Taraporevala ( April 1974)",1974,https://indianliberals.in/forum-of-free-enterprise/the-economic-implications-of-the-union-budget-1974-75-professor-russi-jal-taraporevala-april-1974.pdf,https://indianliberals.in/content/the-economic-implications-of-the-union-budget-1974-75-by-professor-russi-jal-taraporevala-april-1974/
forum-of-free-enterprise,the-economic-implications-of-the-union-budget-1975-76-russi-jal-taraporevala-3-march-1975.pdf,exact,the-economic-implications-of-the-union-budget-1975-76-by-prof-russi-jal-taraporewala-3-march-1975,The Economic Implications of The Union Budget 1975-76 by Prof. Russi Jal Taraporewala (3 March 1975),1975,https://indianliberals.in/forum-of-free-enterprise/the-economic-implications-of-the-union-budget-1975-76-russi-jal-taraporevala-3-march-1975.pdf,https://indianliberals.in/content/the-economic-implications-of-the-union-budget-1975-76-by-prof-russi-jal-taraporewala-3-march-1975/
forum-of-free-enterprise,the-economic-implications-of-the-union-budget-1976-77-russi-jal-taraporevala-20-may-1976.pdf,exact,the-economic-implications-of-the-union-budget-1976-77-by-prof-russi-jal-taraporewala-16-may-1976,The Economic Implications of The Union Budget 1976-77 by Prof. Russi Jal Taraporewala (16 May 1976),1976,https://indianliberals.in/forum-of-free-enterprise/the-economic-implications-of-the-union-budget-1976-77-russi-jal-taraporevala-20-may-1976.pdf,https://indianliberals.in/content/the-economic-implications-of-the-union-budget-1976-77-by-prof-russi-jal-taraporewala-16-may-1976/
forum-of-free-enterprise,the-economic-implications-of-the-union-budget-1979-80-russi-jal-taraporevala-april-17-1979.pdf,exact,the-economic-implications-of-the-union-budget-1979-80-by-professor-russi-jal-taraporevala-april-17-1979,"The Economic Implications Of The Union Budget 1979-80 by Professor Russi Jal Taraporevala (April 17, 1979)",1979,https://indianliberals.in/forum-of-free-enterprise/the-economic-implications-of-the-union-budget-1979-80-russi-jal-taraporevala-april-17-1979.pdf,https://indianliberals.in/content/the-economic-implications-of-the-union-budget-1979-80-by-professor-russi-jal-taraporevala-april-17-1979/
forum-of-free-enterprise,the-economic-implications-of-the-union-budget-for-1966-67-professor-russi-jal-taraporevala-april-20-1966.pdf,exact,the-economic-implications-of-the-union-budget-for-1966-67-by-professor-russi-jal-taraporevala-20-april-1966,The Economic Implications of the Union Budget for 1966-67 by Professor Russi Jal Taraporevala (20 April 1966),1966,https://indianliberals.in/forum-of-free-enterprise/the-economic-implications-of-the-union-budget-for-1966-67-professor-russi-jal-taraporevala-april-20-1966.pdf,https://indianliberals.in/content/the-economic-implications-of-the-union-budget-for-1966-67-by-professor-russi-jal-taraporevala-20-april-1966/
forum-of-free-enterprise,the-economic-implications-of-the-union-budget-for-1971-72-professor-russi-jal-taraporevala-12-july-1971.pdf,exact,the-economic-implications-of-the-union-budget-for-1971-72-by-professor-russi-jal-taraporevala-12-july-1971,The Economic Implications of the Union Budget for 1971-72 by Professor Russi Jal Taraporevala (12 July 1971),1971,https://indianliberals.in/forum-of-free-enterprise/the-economic-implications-of-the-union-budget-for-1971-72-professor-russi-jal-taraporevala-12-july-1971.pdf,https://indianliberals.in/content/the-economic-implications-of-the-union-budget-for-1971-72-by-professor-russi-jal-taraporevala-12-july-1971/
forum-of-free-enterprise,the-economic-implications-of-union-budget-1977-78-russi-jal-taraporevala-august-15-1977.pdf,exact,the-economic-implications-of-union-budget-1977-78-by-russi-jal-taraporevala-august-15-1977,"The Economic Implications Of Union Budget 1977-78 by Russi Jal Taraporevala (August 15, 1977)",1977,https://indianliberals.in/forum-of-free-enterprise/the-economic-implications-of-union-budget-1977-78-russi-jal-taraporevala-august-15-1977.pdf,https://indianliberals.in/content/the-economic-implications-of-union-budget-1977-78-by-russi-jal-taraporevala-august-15-1977/
forum-of-free-enterprise,the-economic-implications-of-union-budget-1978-79-prof-r-j-taraporevala-april-15-1978.pdf,exact,the-economic-implications-of-union-budget-1978-79-by-prof-r-j-taraporevala-april-15-1978,"The Economic Implications of Union Budget 1978-79 by Prof. R. J. Taraporevala (April 15, 1978)",1978,https://indianliberals.in/forum-of-free-enterprise/the-economic-implications-of-union-budget-1978-79-prof-r-j-taraporevala-april-15-1978.pdf,https://indianliberals.in/content/the-economic-implications-of-union-budget-1978-79-by-prof-r-j-taraporevala-april-15-1978/
forum-of-free-enterprise,the-economic-implications-of-union-budget-prof-r-taraporevala-may-15-1972.pdf,exact,the-economic-implications-of-the-union-budget-1972-73-by-prof-russi-jal-taraporevala-may-15-1972,"The Economic Implications of the Union Budget, 1972-73 by Prof. Russi Jal Taraporevala (May 15, 1972)",1972,https://indianliberals.in/forum-of-free-enterprise/the-economic-implications-of-union-budget-prof-r-taraporevala-may-15-1972.pdf,https://indianliberals.in/content/the-economic-implications-of-the-union-budget-1972-73-by-prof-russi-jal-taraporevala-may-15-1972/
forum-of-free-enterprise,the-economic-scene-today-minoo-h-mody-dr-a-c-chhatrapati-february-12-1981.pdf,exact,the-economic-scene-today-by-minoo-h-mody-and-dr-chhatrapati-12-february-1981,The Economic Scene Today by Minoo H. Mody and Dr Chhatrapati (12 February 1981),1981,https://indianliberals.in/forum-of-free-enterprise/the-economic-scene-today-minoo-h-mody-dr-a-c-chhatrapati-february-12-1981.pdf,https://indianliberals.in/content/the-economic-scene-today-by-minoo-h-mody-and-dr-chhatrapati-12-february-1981/
forum-of-free-enterprise,the-emergency-highlights-need-for-a-new-economic-policy-a-d-shroff-jan10-1963.pdf,exact,the-emergency-highlights-need-for-a-new-economic-policy-by-a-d-shroff-jan-101963,"The Emergency Highlights Need for a New Economic Policy by A. D. Shroff (January 10, 1963)",1963,https://indianliberals.in/forum-of-free-enterprise/the-emergency-highlights-need-for-a-new-economic-policy-a-d-shroff-jan10-1963.pdf,https://indianliberals.in/content/the-emergency-highlights-need-for-a-new-economic-policy-by-a-d-shroff-jan-101963/
forum-of-free-enterprise,the-food-situation-and-the-common-man-b-r-shenoy-january-1-1970.pdf,exact,the-food-situation-and-the-common-man-by-prof-b-r-shenoy-january-1-1970,"The Food Situation and the Common Man by Prof. B.R. shenoy (January 1, 1970)",1970,https://indianliberals.in/forum-of-free-enterprise/the-food-situation-and-the-common-man-b-r-shenoy-january-1-1970.pdf,https://indianliberals.in/content/the-food-situation-and-the-common-man-by-prof-b-r-shenoy-january-1-1970/
forum-of-free-enterprise,the-foreign-exchange-crisis-a-d-shroff-aug6-1958.pdf,exact,the-foreign-excahnge-crisis-some-remedies-by-a-d-shroff-aug-6-1958,"The Foreign Exchange Crisis & Some Remedies by A. D. Shroff (August 6, 1958)",1958,https://indianliberals.in/forum-of-free-enterprise/the-foreign-exchange-crisis-a-d-shroff-aug6-1958.pdf,https://indianliberals.in/content/the-foreign-excahnge-crisis-some-remedies-by-a-d-shroff-aug-6-1958/
forum-of-free-enterprise,the-foreign-exchange-situation-prof-b-r-shenoy-mar6-1958.pdf,exact,the-foreign-exchange-situation-by-prof-b-r-shenoy-mar-6-1958,"The Foreign Exchange Situation by Prof. B. R. Shenoy (March 6, 1958)",1958,https://indianliberals.in/forum-of-free-enterprise/the-foreign-exchange-situation-prof-b-r-shenoy-mar6-1958.pdf,https://indianliberals.in/content/the-foreign-exchange-situation-by-prof-b-r-shenoy-mar-6-1958/
forum-of-free-enterprise,the-fourth-plan-dhirajlal-maganlal-mar10-1965.pdf,exact,the-fourth-plan-by-dhirajlal-maganlal-others-mar-10-1965,"The Fourth Plan by Dhirajlal Maganlal & Others (March 10, 1965)",1965,https://indianliberals.in/forum-of-free-enterprise/the-fourth-plan-dhirajlal-maganlal-mar10-1965.pdf,https://indianliberals.in/content/the-fourth-plan-by-dhirajlal-maganlal-others-mar-10-1965/
forum-of-free-enterprise,the-fundamental-rights-case-n-a-palkhivala-july-1973.pdf,exact,the-fundamental-rights-case-by-n-a-palkhivala-july-1973,The Fundamental Rights Case by N. A. Palkhivala (July 1973),1973,https://indianliberals.in/forum-of-free-enterprise/the-fundamental-rights-case-n-a-palkhivala-july-1973.pdf,https://indianliberals.in/content/the-fundamental-rights-case-by-n-a-palkhivala-july-1973/
forum-of-free-enterprise,the-future-is-with-free-enterprise-a-d-shroff-nov8-1959.pdf,exact,the-future-is-with-free-enterprise-by-a-d-shroff-nov-8-1959,"The Future is With Free Enterprise by A. D. Shroff (November 8, 1959)",1959,https://indianliberals.in/forum-of-free-enterprise/the-future-is-with-free-enterprise-a-d-shroff-nov8-1959.pdf,https://indianliberals.in/content/the-future-is-with-free-enterprise-by-a-d-shroff-nov-8-1959/
forum-of-free-enterprise,the-future-of-corporate-sector-j-d-chokshi-s-l-kirloskar-september-11-1968.pdf,exact,the-future-of-corporate-sector-in-india-by-j-d-chokshi-and-s-l-kirloskar-11-september-1968,The Future of Corporate Sector in India by J.D. Chokshi and S.L. Kirloskar (11 September 1968),1968,https://indianliberals.in/forum-of-free-enterprise/the-future-of-corporate-sector-j-d-chokshi-s-l-kirloskar-september-11-1968.pdf,https://indianliberals.in/content/the-future-of-corporate-sector-in-india-by-j-d-chokshi-and-s-l-kirloskar-11-september-1968/
forum-of-free-enterprise,the-future-of-free-enterprise-in-india-jun8-1961.pdf,exact,the-future-of-free-enterprise-in-india-by-m-r-masani-m-p-jun-8-1961,"The Future of Free Enterprise in India by M.R. Masani (June 8, 1961)",1961,https://indianliberals.in/forum-of-free-enterprise/the-future-of-free-enterprise-in-india-jun8-1961.pdf,https://indianliberals.in/content/the-future-of-free-enterprise-in-india-by-m-r-masani-m-p-jun-8-1961/
forum-of-free-enterprise,the-future-of-managing-agency-system-c-c-chokshi-dhirajlal-maganlal-r-l-n-vijaynagar-october-11-1966.pdf,exact,the-future-of-managing-agency-system-by-c-c-chokshi-dhirajlal-maganlal-and-r-l-n-vijayanagar-11-october-1966,"The Future of Managing Agency System by C.C. Chokshi, Dhirajlal Maganlal, and R.L.N. Vijayanagar (11 October, 1966)",1966,https://indianliberals.in/forum-of-free-enterprise/the-future-of-managing-agency-system-c-c-chokshi-dhirajlal-maganlal-r-l-n-vijaynagar-october-11-1966.pdf,https://indianliberals.in/content/the-future-of-managing-agency-system-by-c-c-chokshi-dhirajlal-maganlal-and-r-l-n-vijayanagar-11-october-1966/
forum-of-free-enterprise,the-garland-canal-project-answer-to-indias-flood-and-unemployment-problem-capt-dinshaw-j-dastur-october-14-1978.pdf,exact,the-garland-canal-project-answer-to-india-s-flood-food-and-unemployment-problems-by-capt-dlnshaw-j-dastur-october-14-1978,"The Garland Canal Project - Answer to India s Flood, Food and Unemployment Problems by CAPT. DlNSHAW J. DASTUR (October 14, 1978)",1978,https://indianliberals.in/forum-of-free-enterprise/the-garland-canal-project-answer-to-indias-flood-and-unemployment-problem-capt-dinshaw-j-dastur-october-14-1978.pdf,https://indianliberals.in/content/the-garland-canal-project-answer-to-india-s-flood-food-and-unemployment-problems-by-capt-dlnshaw-j-dastur-october-14-1978/
forum-of-free-enterprise,the-gift-tax-prof-r-j-taraporevala-apr6-1958.pdf,exact,the-gift-tax-by-prof-r-j-taraporevala-apr-6-1958,"The Gift Tax by Prof. R. J. Taraporevala (April 6, 1958)",1958,https://indianliberals.in/forum-of-free-enterprise/the-gift-tax-prof-r-j-taraporevala-apr6-1958.pdf,https://indianliberals.in/content/the-gift-tax-by-prof-r-j-taraporevala-apr-6-1958/
forum-of-free-enterprise,the-gold-problem-in-india-b-r-shenoy-jul10-1963.pdf,exact,the-gold-problem-in-india-by-prof-b-r-shenoy-others-jul-10-1963,"The Gold Problem in India by Prof. B. R. Shenoy & Others (July 10, 1963)",1963,https://indianliberals.in/forum-of-free-enterprise/the-gold-problem-in-india-b-r-shenoy-jul10-1963.pdf,https://indianliberals.in/content/the-gold-problem-in-india-by-prof-b-r-shenoy-others-jul-10-1963/
forum-of-free-enterprise,the-indian-commercial-banking-system-in-the-next-decade-the-role-of-small-banks-dr-s-s-tarapore-october-5-2010.pdf,exact,the-indian-commercial-banking-system-in-the-next-decade-the-role-of-small-banks-by-dr-s-s-tarapore-octobert-5-2010,"The Indian Commercial banking System in the Next Decade - The Role of Small Banks by Dr. S.S. Tarapore (Octobert 5, 2010)",2010,https://indianliberals.in/forum-of-free-enterprise/the-indian-commercial-banking-system-in-the-next-decade-the-role-of-small-banks-dr-s-s-tarapore-october-5-2010.pdf,https://indianliberals.in/content/the-indian-commercial-banking-system-in-the-next-decade-the-role-of-small-banks-by-dr-s-s-tarapore-octobert-5-2010/
forum-of-free-enterprise,the-indian-constitution-and-judiciary-p-b-mukharji-october-1973.pdf,exact,the-indian-constitution-and-judiciary-by-dr-p-b-mukharji-october-1973,The Indian Constitution and Judiciary by Dr. P. B. Mukharji (October 1973),1973,https://indianliberals.in/forum-of-free-enterprise/the-indian-constitution-and-judiciary-p-b-mukharji-october-1973.pdf,https://indianliberals.in/content/the-indian-constitution-and-judiciary-by-dr-p-b-mukharji-october-1973/
forum-of-free-enterprise,the-indian-insurance-industry-mr-n-rangachary-april-20-1999.pdf,exact,the-indian-insurance-industry-by-mr-n-rangachary-20-april-1999,The Indian Insurance Industry by Mr N. Rangachary (20 April 1999),1999,https://indianliberals.in/forum-of-free-enterprise/the-indian-insurance-industry-mr-n-rangachary-april-20-1999.pdf,https://indianliberals.in/content/the-indian-insurance-industry-by-mr-n-rangachary-20-april-1999/
forum-of-free-enterprise,the-indian-milk-problem-d-n-khurody-11-june-1974.pdf,exact,the-indian-milk-problem-by-d-n-khurody-11-june-1974,The Indian Milk Problem by D. N. Khurody (11 June 1974),1974,https://indianliberals.in/forum-of-free-enterprise/the-indian-milk-problem-d-n-khurody-11-june-1974.pdf,https://indianliberals.in/content/the-indian-milk-problem-by-d-n-khurody-11-june-1974/
forum-of-free-enterprise,the-indian-press-is-a-private-industry-in-public-service-AB-Nair-August-8-1962.pdf,exact,the-indian-press-is-a-private-industry-in-public-service-by-a-b-nair-august-8-1962,"The Indian Press is a Private Industry in Public Service by A.B. Nair (August 8, 1962)",1962,https://indianliberals.in/forum-of-free-enterprise/the-indian-press-is-a-private-industry-in-public-service-AB-Nair-August-8-1962.pdf,https://indianliberals.in/content/the-indian-press-is-a-private-industry-in-public-service-by-a-b-nair-august-8-1962/
forum-of-free-enterprise,the-international-monetary-system-and-the-role-of-gold-robert-s-brown-december-14-1976.pdf,exact,the-international-monetary-system-the-role-of-gold-by-robert-s-brown-december-14-1976,"The International Monetary System & The Role Of Gold by Robert S. Brown (December 14, 1976)",1976,https://indianliberals.in/forum-of-free-enterprise/the-international-monetary-system-and-the-role-of-gold-robert-s-brown-december-14-1976.pdf,https://indianliberals.in/content/the-international-monetary-system-the-role-of-gold-by-robert-s-brown-december-14-1976/
