entry_id,work_type,publisher,suggested_pdf_url
role-of-management-in-productive-movement-s-anantharamakrishnan-october-7-1960,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/role-of-management-in-productive-movement-s-anantharamakrishnan-october-7-1960.pdf
rural-employment-guarantee-scheme-two-reviews-gangadhar-gadgil-n-g-abhyankar-15-august-1975,edited_volume,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/rural-employment-guarantee-scheme-two-reviews-gangadhar-gadgil-n-g-abhyankar-15-august-1975.pdf
should-we-alter-our-constitution-n-a-palkhivala-20-february-1976,essay,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/should-we-alter-our-constitution-n-a-palkhivala-20-february-1976.pdf
should-we-alter-ourc-onstitution-n-a-palkhivala-february-20-1976,pamphlet,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/should-we-alter-ourc-onstitution-n-a-palkhivala-february-20-1976.pdf
skill-ecosystem-journey-to-vocalization-of-education-s-ramadorai,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/skill-ecosystem-journey-to-vocalization-of-education-s-ramadorai.pdf
social-forestry-for-india-y-m-l-sharma-october-14-1976,pamphlet,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/social-forestry-for-india-y-m-l-sharma-october-14-1976.pdf
socialism-and-poverty-c-r-irani-10-january-1971,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/socialism-and-poverty-c-r-irani-10-january-1971.pdf
socialism-has-it-become-a-doctrine-of-the-past-by-ad-shroff,pamphlet,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/socialism-has-it-become-a-doctrine-of-the-past-by-ad-shroff.pdf
some-aspects-of-corporate-management-steve-dembicki-c-c-sutaria-krishna-basrur-july-1969,edited_volume,forum-of-free-enterprise,"https://indianliberals.in/forum-of-free-enterprise/some-aspects-of-corporate-management-steve-dembicki,c-c-sutaria-krishna-basrur-july-1969.pdf"
some-economic-aspects-and-problems-prof-p-t-bauer-jan6-1959,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/some-economic-aspects-and-problems-prof-p-t-bauer-jan6-1959.pdf
some-reflections-on-the-food-problem-in-india-t-a-pai-september-11-1966,pamphlet,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/some-reflections-on-the-food-problem-in-india-t-a-pai-september-11-1966.pdf
some-tax-aspects-of-electronic-commerce-k-r-girish,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/some-tax-aspects-of-electronic-commerce-k-r-girish.pdf
spirit-of-free-enterprise-by-russi-mody-december-14-1991,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/spirit-of-free-enterprise-by-russi-mody-december-14-1991.pdf
state-monoplies-v-k-narasimhan-aug7-1959,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/state-monoplies-v-k-narasimhan-aug7-1959.pdf
state-monopoly-of-text-books-november-5-1964,edited_volume,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/state-monopoly-of-text-books-november-5-1964.pdf
state-takeover-of-foodgrains-trade-dr-a-c-chhatrapati-may-15-1973,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/state-takeover-of-foodgrains-trade-dr-a-c-chhatrapati-may-15-1973.pdf
state-trading-a-d-shroff-jun6-1958,edited_volume,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/state-trading-a-d-shroff-jun6-1958.pdf
state-trading-and-democracy-by-murarji-vaidya-october-1-1956,essay,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/state-trading-and-democracy-by-murarji-vaidya-october-1-1956.pdf
state-trading-in-a-democracy-dr-s-g-panandikar-aug8-1960,edited_volume,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/state-trading-in-a-democracy-dr-s-g-panandikar-aug8-1960.pdf
state-trading-in-food-grains-a-d-shroff-jun7-1959,edited_volume,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/state-trading-in-food-grains-a-d-shroff-jun7-1959.pdf
statement-on-current-economic-situation-in-india-september-2019,occasional_paper,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/statement-on-current-economic-situation-in-india-september-2019.pdf
stock-market-and-turmoil-lessons-for-investors-by-shah-mulraj-simha-2001,edited_volume,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/stock-market-and-turmoil-lessons-for-investors-by-shah-mulraj-simha-2001.pdf
strong-medicine-for-india-leland-hazard-july-11-1966,pamphlet,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/strong-medicine-for-india-leland-hazard-july-11-1966.pdf
success-in-agriculture-through-free-enterprise-by-jr-henshaw-december-10-1964,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/success-in-agriculture-through-free-enterprise-by-jr-henshaw-december-10-1964.pdf
tandon-committee-report-and-finance-for-industry-j-h-doshi-18-january-1976,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/tandon-committee-report-and-finance-for-industry-j-h-doshi-18-january-1976.pdf
taxation-trends-and-its-impact-on-indian-mncs-smahalingam-september-4-2011,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/taxation-trends-and-its-impact-on-indian-mncs-smahalingam-september-4-2011.pdf
telephone-communication-and-urban-development-in-india-rashmi-mayur-feburary-14-1977,pamphlet,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/telephone-communication-and-urban-development-in-india-rashmi-mayur-feburary-14-1977.pdf
the-ad-shroff-memorial-trust-a-report-on-the-first-five-years-1967-1972,occasional_paper,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/the-ad-shroff-memorial-trust-a-report-on-the-first-five-years-1967-1972.pdf
the-anatomy-of-waste-and-inefficiency-in-engineering-construction-w-x-mascarenhas-june-9-1970,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/the-anatomy-of-waste-and-inefficiency-in-engineering-construction-w-x-mascarenhas-june-9-1970.pdf
the-application-of-science-and-technology-to-socio-economic-development-professor-m-s-thacker-november-15-1971,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/the-application-of-science-and-technology-to-socio-economic-development-professor-m-s-thacker-november-15-1971.pdf
the-basic-truth-about-inflation-prof-b-r-shenoy-april-14-1977,edited_volume,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/the-basic-truth-about-inflation-prof-b-r-shenoy-april-14-1977.pdf
the-bombay-plan-and-other-essays-a-d-shroff-1968,edited_volume,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/the-bombay-plan-and-other-essays-a-d-shroff-1968.pdf
the-bonus-problem-y-d-joshi-s-r-mohandas-dr-m-c-munshi,edited_volume,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/the-bonus-problem-y-d-joshi-s-r-mohandas-dr-m-c-munshi.pdf
the-capital-market-in-india-since-independence-e-r-krishnamurti-december-14-1978,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/the-capital-market-in-india-since-independence-e-r-krishnamurti-december-14-1978.pdf
the-case-for-free-enterprise-a-d-shroff-january-1-1970,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/the-case-for-free-enterprise-a-d-shroff-january-1-1970.pdf
the-case-for-sponsored-radio-y-a-fazalbhoy-1957,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/the-case-for-sponsored-radio-y-a-fazalbhoy-1957.pdf
the-central-budget-2004-2005-vis-a-vis-the-liberal-budget-various-july-18-2004,pamphlet,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/the-central-budget-2004-2005-vis-a-vis-the-liberal-budget-various-july-18-2004.pdf
the-challenge-of-rural-development-to-banks-and-industries-prof-b-r-shenoy-january-14-1979,edited_volume,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/the-challenge-of-rural-development-to-banks-and-industries-prof-b-r-shenoy-january-14-1979.pdf
the-challenges-before-the-insurance-industry-in-india-g-n-bajpai-2002,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/the-challenges-before-the-insurance-industry-in-india-g-n-bajpai-2002.pdf
the-changing-focus-of-industrial-finance-mr-siddharth-a-mehta-may-26-1981,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/the-changing-focus-of-industrial-finance-mr-siddharth-a-mehta-may-26-1981.pdf
the-changing-profile-of-indian-banking-j-n-saxena-june-1-1977,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/the-changing-profile-of-indian-banking-j-n-saxena-june-1-1977.pdf
the-changing-scenario-of-industrial-finance-and-capital-market-in-the-new-millennium-dr-r-h-patil-november-7-2000,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/the-changing-scenario-of-industrial-finance-and-capital-market-in-the-new-millennium-dr-r-h-patil-november-7-2000.pdf
the-chinese-economic-experiment-lessons-for-india-j-h-doshi-november-16-1978,pamphlet,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/the-chinese-economic-experiment-lessons-for-india-j-h-doshi-november-16-1978.pdf
