md_slug	confidence	prod_slug	pdf_url	md_title	prod_title	notes
perestroika-and-india-global-process-viren-shah-1988	exact	perestroika-and-india-global-process-viren-shah-1988	https://indianliberals.in/forum-of-free-enterprise/perestroika-and-india-global-process-viren-shah-1988.pdf	PERESTROIKA AND INDIA – THE GLOBAL PROCESS	Perestroika and India - The Global Process by Viren J Shah (November 14,1988) - Indian Liberals	
pitfalls-in-ouri-ndustrial-policy-m-a-master-nov6-1959	exact	pitfalls-in-ouri-ndustrial-policy-m-a-master-nov6-1959	https://indianliberals.in/forum-of-free-enterprise/pitfalls-in-ouri-ndustrial-policy-m-a-master-nov6-1959.pdf	PITFALLS IN OUR INDUSTRIAL POLICY		
planning-and-nationalization-rethinking-in-india-and-abroad-l-n-birla-dr-n-das-january-12-1967	exact	planning-and-nationalization-rethinking-in-india-and-abroad-l-n-birla-dr-n-das-january-12-1967	https://indianliberals.in/forum-of-free-enterprise/planning-and-nationalization-rethinking-in-india-and-abroad-l-n-birla-dr-n-das-january-12-1967.pdf	Planning & Nationalisation	Planning and Nationalization: Rethinking in India and Abroad by L.N. Birla and Dr. N. Das (12 January 1967) - Indian Liberals	
planning-for-prosperity-a-d-shroff-oct8-1960	exact	planning-for-prosperity-a-d-shroff-oct8-1960	https://indianliberals.in/forum-of-free-enterprise/planning-for-prosperity-a-d-shroff-oct8-1960.pdf	Planning in India	Planning for Prosperity by A. D. Shroff (October 8, 1960) - Indian Liberals	
planning-in-india-a-d-shroff-january-1-1970	exact	planning-in-india-a-d-shroff-january-1-1970	https://indianliberals.in/forum-of-free-enterprise/planning-in-india-a-d-shroff-january-1-1970.pdf	PLANNING IN INDIA	Planning in India by A.D.Shroff (January 1, 1970) - Indian Liberals	
plans-and-perspectives-by-bg-verghese-january-8-1961	exact	plans-and-perspectives-by-bg-verghese-january-8-1961	https://indianliberals.in/forum-of-free-enterprise/plans-and-perspectives-by-bg-verghese-january-8-1961.pdf	Plans and Perspectives	Plans and Perspective by B.G. Verghese (January 8, 1961) - Indian Liberals	
price-policy-p-h-sheshagiri-rao-mar8-1960	exact	price-policy-p-h-sheshagiri-rao-mar8-1960	https://indianliberals.in/forum-of-free-enterprise/price-policy-p-h-sheshagiri-rao-mar8-1960.pdf	Price Policy in Nationalised Industry and Trade	Price Policy in Nationlised Industry and Trade by P. H. Sheshagiri Rao (March 8, 1960) - Indian Liberals	
problem-and-prospects-of-developing-countries-s-jannathan-1980	exact	problem-and-prospects-of-developing-countries-s-jannathan-1980	https://indianliberals.in/forum-of-free-enterprise/problem-and-prospects-of-developing-countries-s-jannathan-1980.pdf	Problems and Prospects of Developing Countries	Problem and Prospects of Developing Countries by S. Jagannathan 1980 - Indian Liberals	
problems-of-free-enterprise-obv-january-1-1970	exact	problems-of-free-enterprise-obv-january-1-1970	https://indianliberals.in/forum-of-free-enterprise/problems-of-free-enterprise-obv-january-1-1970.pdf	Problems of Free Enterprise in India	Problems of Free Enterprise in India by Observer (January 1, 1970) - Indian Liberals	
property-rights-k-subba-rao-dec10-1968	exact	property-rights-k-subba-rao-dec10-1968	https://indianliberals.in/forum-of-free-enterprise/property-rights-k-subba-rao-dec10-1968.pdf	Property Rights under the Constitution		
prune-the-plan-prof-b-r-shebnoy-january-1-1970	exact	prune-the-plan-prof-b-r-shebnoy-january-1-1970	https://indianliberals.in/forum-of-free-enterprise/prune-the-plan-prof-b-r-shebnoy-january-1-1970.pdf	Prune the Plan	Prune the Plan by Prof.B.R.Shebnoy (January 1, 1970) - Indian Liberals	
puzzles-and-clues-m-a-sreenivavsan-1957	exact	puzzles-and-clues-m-a-sreenivavsan-1957	https://indianliberals.in/forum-of-free-enterprise/puzzles-and-clues-m-a-sreenivavsan-1957.pdf	PUZZLES AND CLUES	Puzzles and Clues by M.A. Sreenivasan, 1957 - Indian Liberals	
reflection-on-the-changing-scenario-of-the-indian-stock-marketst-m-r-mayya-december-21-1994	exact	reflection-on-the-changing-scenario-of-the-indian-stock-marketst-m-r-mayya-december-21-1994	https://indianliberals.in/forum-of-free-enterprise/reflection-on-the-changing-scenario-of-the-indian-stock-marketst-m-r-mayya-december-21-1994.pdf	REFLECTIONS ON THE CHANGING SCENARIO OF THE INDIAN STOCK MARKETS	Reflection on the Changing Scenario of Indian Stock Markets by Mr M. R. Mayya (21 December 1994) - Indian Liberals	
regional-cooperation-in-south-asia-h-t-parekh-december-13-1981	exact	regional-cooperation-in-south-asia-h-t-parekh-december-13-1981	https://indianliberals.in/forum-of-free-enterprise/regional-cooperation-in-south-asia-h-t-parekh-december-13-1981.pdf	Regional Cooperation in South Asia	Regional ccoperation in South Asia by H.T. Parekh (13 December 1981) - Indian Liberals	
regulation-of-the-capital-market-and-the-role-of-sebi-by-gv-ramakrishna-may-15-1993	exact	regulation-of-the-capital-market-and-the-role-of-sebi-by-gv-ramakrishna-may-15-1993	https://indianliberals.in/forum-of-free-enterprise/regulation-of-the-capital-market-and-the-role-of-sebi-by-gv-ramakrishna-may-15-1993.pdf	REGULATION OF THE CAPITAL MARKET AND THE ROLE OF SEBI	Regulation of the Capital Market and the Role of SEBI by G.V. Ramakrishna (May 15, 1993) - Indian Liberals	
rising-prices-black-money-and-demonetisation-prof-b-p-adarkar-october-14-1973	exact	rising-prices-black-money-and-demonetisation-prof-b-p-adarkar-october-14-1973	https://indianliberals.in/forum-of-free-enterprise/rising-prices-black-money-and-demonetisation-prof-b-p-adarkar-october-14-1973.pdf	RISING PRICES, BLACK MONEY AND DEMONETISATION	Rising Prices, Black Money and Demonestisation by Prof. B.P. Adarkar (October 14, 1973) - Indian Liberals	
role-of-free-enterprise-c-l-gheevala-january-1-1970	exact	role-of-free-enterprise-c-l-gheevala-january-1-1970	https://indianliberals.in/forum-of-free-enterprise/role-of-free-enterprise-c-l-gheevala-january-1-1970.pdf	ROLE OF FREE ENTERPRISE IN SECOND PLAN	Role of Free Enterprise in Second Plan by C.L. Gheevala (January 1, 1970) - Indian Liberals	
role-of-free-enterprises-by-sn-haji-october-2-1956	exact	role-of-free-enterprises-by-sn-haji-october-2-1956	https://indianliberals.in/forum-of-free-enterprise/role-of-free-enterprises-by-sn-haji-october-2-1956.pdf	Role of Free Enterprise	Role of Free Enterprises by S.N. Haji (October 2, 1956) - Indian Liberals	
role-of-intellectuals-in-public-life-prof-p-g-mavalankar-october-1979	exact	role-of-intellectuals-in-public-life-prof-p-g-mavalankar-october-1979	https://indianliberals.in/forum-of-free-enterprise/role-of-intellectuals-in-public-life-prof-p-g-mavalankar-october-1979.pdf	Role of Intellectuals in Public Life	Role of Intellectuals in Public Life by Prof. P. G. Mavalankar (30th October 1979) - Indian Liberals	
role-of-management-in-productive-movement-s-anantharamakrishnan-october-7-1960	exact	role-of-management-in-productive-movement-s-anantharamakrishnan-october-7-1960	https://indianliberals.in/forum-of-free-enterprise/role-of-management-in-productive-movement-s-anantharamakrishnan-october-7-1960.pdf	ROLE OF MANAGEMENT IN PRODUCTIVITY MOVEMENT	Role of Management in Productive movement by S. Anantharamakrishnan (7 October 1960) - Indian Liberals	
rural-employment-guarantee-scheme-two-reviews-gangadhar-gadgil-n-g-abhyankar-15-august-1975	exact	rural-employment-guarantee-scheme-two-reviews-gangadhar-gadgil-n-g-abhyankar-15-august-1975	https://indianliberals.in/forum-of-free-enterprise/rural-employment-guarantee-scheme-two-reviews-gangadhar-gadgil-n-g-abhyankar-15-august-1975.pdf	RURAL EMPLOYMENT GUARANTEE SCHEME—TWO VIEWS	Rural Employment Guarantee Scheme - Two Views by Prof. Gangadhar Gadgil, N. G. Abhyankar I.A.S. (Retd.) (15 August 1975) - Indian Liberals	
should-we-alter-our-constitution-n-a-palkhivala-20-february-1976	exact	should-we-alter-our-constitution-n-a-palkhivala-20-february-1976	https://indianliberals.in/forum-of-free-enterprise/should-we-alter-our-constitution-n-a-palkhivala-20-february-1976.pdf	SHOULD WE ALTER OUR CONSTITUTION?	Should We Alter Our Constitution? by N. A. Palkhivala (20 February 1976) - Indian Liberals	
should-we-alter-ourc-onstitution-n-a-palkhivala-february-20-1976	exact	should-we-alter-ourc-onstitution-n-a-palkhivala-february-20-1976	https://indianliberals.in/forum-of-free-enterprise/should-we-alter-ourc-onstitution-n-a-palkhivala-february-20-1976.pdf	SHOULD WE ALTER OUR CONSTITUTION?	Should we alter our Constitution? by N.A. Palkhivala (February 20, 1976) - Indian Liberals	
skill-ecosystem-journey-to-vocalization-of-education-s-ramadorai	exact	skill-ecosystem-journey-to-vocalization-of-education-s-ramadorai	https://indianliberals.in/forum-of-free-enterprise/skill-ecosystem-journey-to-vocalization-of-education-s-ramadorai.pdf	Skill Ecosystem - Journey to Vocationalization of Education	Skill ecosystem – Journey to Vocalization of Education by S. Ramadorai. (November 2018) - Indian Liberals	
social-forestry-for-india-y-m-l-sharma-october-14-1976	exact	social-forestry-for-india-y-m-l-sharma-october-14-1976	https://indianliberals.in/forum-of-free-enterprise/social-forestry-for-india-y-m-l-sharma-october-14-1976.pdf	SOCIAL FORESTRY FOR INDIA	Social Forestry For India by Y. M. L. Sharma (October 14, 1976) - Indian Liberals	
socialism-and-poverty-c-r-irani-10-january-1971	exact	socialism-and-poverty-c-r-irani-10-january-1971	https://indianliberals.in/forum-of-free-enterprise/socialism-and-poverty-c-r-irani-10-january-1971.pdf	Socialism and Poverty	Socialism and Poverty by C.R. Irani (10 January 1971) - Indian Liberals	
socialism-has-it-become-a-doctrine-of-the-past-by-ad-shroff	exact	socialism-has-it-become-a-doctrine-of-the-past-by-ad-shroff	https://indianliberals.in/forum-of-free-enterprise/socialism-has-it-become-a-doctrine-of-the-past-by-ad-shroff.pdf	SOCIALISM—HAS IT BECOME A DOCTRINE OF THE PAST?	Socialism - Has It Become A Doctrine Of The Past? by A.D. Shroff - Indian Liberals	
some-aspects-of-corporate-management-steve-dembicki-c-c-sutaria-krishna-basrur-july-1969	exact	some-aspects-of-corporate-management-steve-dembicki-c-c-sutaria-krishna-basrur-july-1969	https://indianliberals.in/forum-of-free-enterprise/some-aspects-of-corporate-management-steve-dembicki,c-c-sutaria-krishna-basrur-july-1969.pdf	Some Aspects of Corporate Management	Some aspects of coporate management by Steve Dembicki, C.C. Sutaria, and Mrs Krishna Basrur (July 1969) - Indian Liberals	
some-economic-aspects-and-problems-prof-p-t-bauer-jan6-1959	exact	some-economic-aspects-and-problems-prof-p-t-bauer-jan6-1959	https://indianliberals.in/forum-of-free-enterprise/some-economic-aspects-and-problems-prof-p-t-bauer-jan6-1959.pdf	Some Economic Aspects and Problems of Under-Developed Countries	Some Economic Aspects and Problems of Under-developed Countries by Prof. P. T. Bauer (January 6, 1959) - Indian Liberals	
some-reflections-on-the-food-problem-in-india-t-a-pai-september-11-1966	exact	some-reflections-on-the-food-problem-in-india-t-a-pai-september-11-1966	https://indianliberals.in/forum-of-free-enterprise/some-reflections-on-the-food-problem-in-india-t-a-pai-september-11-1966.pdf	Some Reflections on the Food Problem in India	Some reflections on the food problem in India by T.A Pai (11 September 1966) - Indian Liberals	
some-tax-aspects-of-electronic-commerce-k-r-girish	exact	some-tax-aspects-of-electronic-commerce-k-r-girish	https://indianliberals.in/forum-of-free-enterprise/some-tax-aspects-of-electronic-commerce-k-r-girish.pdf	Some Tax Aspects of Electronic Commerce	Some tax aspects of electronic commerce by K.R. Girish (January 2000) - Indian Liberals	
spirit-of-free-enterprise-by-russi-mody-december-14-1991	exact	spirit-of-free-enterprise-by-russi-mody-december-14-1991	https://indianliberals.in/forum-of-free-enterprise/spirit-of-free-enterprise-by-russi-mody-december-14-1991.pdf	SPIRIT OF FREE ENTERPRISE	Spirit Of Free Enterprise by Russi Mody (December 14, 1991) - Indian Liberals	
state-monoplies-v-k-narasimhan-aug7-1959	exact	state-monoplies-v-k-narasimhan-aug7-1959	https://indianliberals.in/forum-of-free-enterprise/state-monoplies-v-k-narasimhan-aug7-1959.pdf	STATE MONOPOLIES AND THE CITIZEN IN A DEMOCRACY	State Monoplies and the Citizen in a Democracy by V. K. Narasimhan (August 7, 1959) - Indian Liberals	
state-monopoly-of-text-books-november-5-1964	exact	state-monopoly-of-text-books-november-5-1964	https://indianliberals.in/forum-of-free-enterprise/state-monopoly-of-text-books-november-5-1964.pdf	STATE MONOPOLY OF TEXT-BOOKS	State Monopoly of Text-Books ( 5 November, 1964) - Indian Liberals	
state-takeover-of-foodgrains-trade-dr-a-c-chhatrapati-may-15-1973	exact	state-takeover-of-foodgrains-trade-dr-a-c-chhatrapati-may-15-1973	https://indianliberals.in/forum-of-free-enterprise/state-takeover-of-foodgrains-trade-dr-a-c-chhatrapati-may-15-1973.pdf	STATE TAKEOVER OF FOODGRAINS TRADE	State Takeover of Foograins Trade by Dr. A. C. Chhatrapati (May 15, 1973) - Indian Liberals	
state-trading-a-d-shroff-jun6-1958	exact	state-trading-a-d-shroff-jun6-1958	https://indianliberals.in/forum-of-free-enterprise/state-trading-a-d-shroff-jun6-1958.pdf	State Trading	State Trading by A. D. Shroff (June 6, 1958) - Indian Liberals	
state-trading-and-democracy-by-murarji-vaidya-october-1-1956	exact	state-trading-and-democracy-by-murarji-vaidya-october-1-1956	https://indianliberals.in/forum-of-free-enterprise/state-trading-and-democracy-by-murarji-vaidya-october-1-1956.pdf	State Trading And Democracy	State Trading And Democracy by Murarji Vaidya (October 1, 1956) - Indian Liberals	
state-trading-in-a-democracy-dr-s-g-panandikar-aug8-1960	exact	state-trading-in-a-democracy-dr-s-g-panandikar-aug8-1960	https://indianliberals.in/forum-of-free-enterprise/state-trading-in-a-democracy-dr-s-g-panandikar-aug8-1960.pdf	STATE TRADING IN A DEMOCRACY	State Trading in a Democracy by Dr. S. G. Panandikar (August 8, 1960) - Indian Liberals	
state-trading-in-food-grains-a-d-shroff-jun7-1959	exact	state-trading-in-food-grains-a-d-shroff-jun7-1959	https://indianliberals.in/forum-of-free-enterprise/state-trading-in-food-grains-a-d-shroff-jun7-1959.pdf	STATE TRADING IN FOODGRAINS	State Trading in Food Grains by A. D. Shroff (June 7, 1959) - Indian Liberals	
statement-on-current-economic-situation-in-india-september-2019	exact	statement-on-current-economic-situation-in-india-september-2019	https://indianliberals.in/forum-of-free-enterprise/statement-on-current-economic-situation-in-india-september-2019.pdf	Statement on the Current Economic Situation in India	Statement on the Current Economic Situation in India ( September 2019) - Indian Liberals	
stock-market-and-turmoil-lessons-for-investors-by-shah-mulraj-simha-2001	exact	stock-market-and-turmoil-lessons-for-investors-by-shah-mulraj-simha-2001	https://indianliberals.in/forum-of-free-enterprise/stock-market-and-turmoil-lessons-for-investors-by-shah-mulraj-simha-2001.pdf	STOCK MARKET IN TURMOIL – LESSONS FOR INVESTORS	Stock Market in Turmoil- Lessons for Investors by Prof.S.L.N.Simha, J. Mulraj, Dr.Ajay Shah (April-May-June, 20, 2001) - Indian Liberals	
strong-medicine-for-india-leland-hazard-july-11-1966	exact	strong-medicine-for-india-leland-hazard-july-11-1966	https://indianliberals.in/forum-of-free-enterprise/strong-medicine-for-india-leland-hazard-july-11-1966.pdf	STRONG MEDICINE FOR INDIA	Strong Medicine for India by Leland Hazard (July 1966) - Indian Liberals	
success-in-agriculture-through-free-enterprise-by-jr-henshaw-december-10-1964	exact	success-in-agriculture-through-free-enterprise-by-jr-henshaw-december-10-1964	https://indianliberals.in/forum-of-free-enterprise/success-in-agriculture-through-free-enterprise-by-jr-henshaw-december-10-1964.pdf	Success in Agriculture Through Free Enterprise	Success in Agriculture Through Free Enterprise by J.R. Henshaw (December 10, 1964) - Indian Liberals	
tandon-committee-report-and-finance-for-industry-j-h-doshi-18-january-1976	exact	tandon-committee-report-and-finance-for-industry-j-h-doshi-18-january-1976	https://indianliberals.in/forum-of-free-enterprise/tandon-committee-report-and-finance-for-industry-j-h-doshi-18-january-1976.pdf	Tandon Committee Report & Finance for Industry	Tandon Committee Report and Finance for Industry by J. H. Doshi (18 January 1976) - Indian Liberals	
taxation-trends-and-its-impact-on-indian-mncs-smahalingam-september-4-2011	exact	taxation-trends-and-its-impact-on-indian-mncs-smahalingam-september-4-2011	https://indianliberals.in/forum-of-free-enterprise/taxation-trends-and-its-impact-on-indian-mncs-smahalingam-september-4-2011.pdf	Taxation Trends and its impact on Indian Multinational Companies	Taxation Trends and its Impact on Indian Multinational Companies by S. Mahalingam (September 4, 2011) - Indian Liberals	
telephone-communication-and-urban-development-in-india-rashmi-mayur-feburary-14-1977	exact	telephone-communication-and-urban-development-in-india-rashmi-mayur-feburary-14-1977	https://indianliberals.in/forum-of-free-enterprise/telephone-communication-and-urban-development-in-india-rashmi-mayur-feburary-14-1977.pdf	Telephone Communication and Urban Development In India	Telephone Communication and Urban Development In India by Dr. Rashmi Mayur (Feburary 14, 1977) - Indian Liberals	
the-ad-shroff-memorial-trust-a-report-on-the-first-five-years-1967-1972	exact	the-ad-shroff-memorial-trust-a-report-on-the-first-five-years-1967-1972	https://indianliberals.in/forum-of-free-enterprise/the-ad-shroff-memorial-trust-a-report-on-the-first-five-years-1967-1972.pdf	The A. D. Shroff Memorial Trust	The A.D. Shroff Memorial Trust - A Report on the First Five Years 1967-1972 - Indian Liberals	
the-anatomy-of-waste-and-inefficiency-in-engineering-construction-w-x-mascarenhas-june-9-1970	exact	the-anatomy-of-waste-and-inefficiency-in-engineering-construction-w-x-mascarenhas-june-9-1970	https://indianliberals.in/forum-of-free-enterprise/the-anatomy-of-waste-and-inefficiency-in-engineering-construction-w-x-mascarenhas-june-9-1970.pdf	The Anatomy of Waste and Inefficiency in Engineering Construction	The Anatomy of Waste and Inefficiency in Engineering Construction by W. X. Mascarenhas ( 9 June 1970) - Indian Liberals	
the-application-of-science-and-technology-to-socio-economic-development-professor-m-s-thacker-november-15-1971	exact	the-application-of-science-and-technology-to-socio-economic-development-professor-m-s-thacker-november-15-1971	https://indianliberals.in/forum-of-free-enterprise/the-application-of-science-and-technology-to-socio-economic-development-professor-m-s-thacker-november-15-1971.pdf	The Application of Science and Technology to Socio-Economic Development	The Application of Science and Technology to Socio-Economic Development by Professor M.S. Thacker (15 November 1971) - Indian Liberals	
the-basic-truth-about-inflation-prof-b-r-shenoy-april-14-1977	exact	the-basic-truth-about-inflation-prof-b-r-shenoy-april-14-1977	https://indianliberals.in/forum-of-free-enterprise/the-basic-truth-about-inflation-prof-b-r-shenoy-april-14-1977.pdf	The Basic Truth About Inflation	The Basic Truth about Inflation by Prof. B. R. Shenoy & Others (April 14, 1977) - Indian Liberals	
the-bombay-plan-and-other-essays-a-d-shroff-1968	exact	the-bombay-plan-and-other-essays-a-d-shroff-1968	https://indianliberals.in/forum-of-free-enterprise/the-bombay-plan-and-other-essays-a-d-shroff-1968.pdf	The Bombay Plan & Other Essays	The Bombay Plan and other Essays by A. D. Shroff, 1968 - Indian Liberals	
the-bonus-problem-y-d-joshi-s-r-mohandas-dr-m-c-munshi	exact	the-bonus-problem-y-d-joshi-s-r-mohandas-dr-m-c-munshi	https://indianliberals.in/forum-of-free-enterprise/the-bonus-problem-y-d-joshi-s-r-mohandas-dr-m-c-munshi.pdf	The Bonus Problem	The Bonus Problem by Y. D. Joshi, S. R. Mohandas, Dr. M. C. Munshi (July 1972) - Indian Liberals	
the-capital-market-in-india-since-independence-e-r-krishnamurti-december-14-1978	exact	the-capital-market-in-india-since-independence-e-r-krishnamurti-december-14-1978	https://indianliberals.in/forum-of-free-enterprise/the-capital-market-in-india-since-independence-e-r-krishnamurti-december-14-1978.pdf	The Capital Market in India Since Independence	The Capital Market In India Since Independence by E. R. Krishnamurti (December 14, 1978) - Indian Liberals	
the-case-for-free-enterprise-a-d-shroff-january-1-1970	exact	the-case-for-free-enterprise-a-d-shroff-january-1-1970	https://indianliberals.in/forum-of-free-enterprise/the-case-for-free-enterprise-a-d-shroff-january-1-1970.pdf	The Case for Free Enterprise	The Case for Free Enterprise by A.D. Shroff (January 1, 1970) - Indian Liberals	
the-case-for-sponsored-radio-y-a-fazalbhoy-1957	exact	the-case-for-sponsored-radio-y-a-fazalbhoy-1957	https://indianliberals.in/forum-of-free-enterprise/the-case-for-sponsored-radio-y-a-fazalbhoy-1957.pdf	THE CASE FOR SPONSORED RADIO		
the-central-budget-2004-2005-vis-a-vis-the-liberal-budget-various-july-18-2004	exact	the-central-budget-2004-2005-vis-a-vis-the-liberal-budget-various-july-18-2004	https://indianliberals.in/forum-of-free-enterprise/the-central-budget-2004-2005-vis-a-vis-the-liberal-budget-various-july-18-2004.pdf	THE CENTRAL BUDGET 2004-2005 VIS-A-VIS THE LIBERAL BUDGET	The Central Budget 2004-2005 Vis-a-Vis the Liberal Budget by various (July 18, 2004) - Indian Liberals	
the-challenge-of-rural-development-to-banks-and-industries-prof-b-r-shenoy-january-14-1979	exact	the-challenge-of-rural-development-to-banks-and-industries-prof-b-r-shenoy-january-14-1979	https://indianliberals.in/forum-of-free-enterprise/the-challenge-of-rural-development-to-banks-and-industries-prof-b-r-shenoy-january-14-1979.pdf	The Basic Truth About Inflation	The Challenge of Rural Development to Banks and Industries by PROF. B. R. SHENOY & others (January 14, 1979) - Indian Liberals	
the-challenges-before-the-insurance-industry-in-india-g-n-bajpai-2002	exact	the-challenges-before-the-insurance-industry-in-india-g-n-bajpai-2002	https://indianliberals.in/forum-of-free-enterprise/the-challenges-before-the-insurance-industry-in-india-g-n-bajpai-2002.pdf	THE CHALLENGES BEFORE THE INSURANCE INDUSTRY IN INDIA	The Challenges Before the Insurance Industry in India by G.N. Bajpai (2002) - Indian Liberals	
the-changing-focus-of-industrial-finance-mr-siddharth-a-mehta-may-26-1981	exact	the-changing-focus-of-industrial-finance-mr-siddharth-a-mehta-may-26-1981	https://indianliberals.in/forum-of-free-enterprise/the-changing-focus-of-industrial-finance-mr-siddharth-a-mehta-may-26-1981.pdf	The Changing Focus of Industrial Finance	The Changing Focus Of Industrial Finance by Mr Siddharth A Mehta (26 May 1981) - Indian Liberals	
the-changing-profile-of-indian-banking-j-n-saxena-june-1-1977	exact	the-changing-profile-of-indian-banking-j-n-saxena-june-1-1977	https://indianliberals.in/forum-of-free-enterprise/the-changing-profile-of-indian-banking-j-n-saxena-june-1-1977.pdf	The Changing Profile of Indian Banking	The Changing Profile of Indian Banking by Mr J.N. Saxena (1 June 1977) - Indian Liberals	
the-changing-scenario-of-industrial-finance-and-capital-market-in-the-new-millennium-dr-r-h-patil-november-7-2000	exact	the-changing-scenario-of-industrial-finance-and-capital-market-in-the-new-millennium-dr-r-h-patil-november-7-2000	https://indianliberals.in/forum-of-free-enterprise/the-changing-scenario-of-industrial-finance-and-capital-market-in-the-new-millennium-dr-r-h-patil-november-7-2000.pdf	CHANGING SCENARIO OF INDUSTRIAL FINANCE & CAPITAL MARKET IN THE NEW MILLENNIUM	The Changing Scenario of Industrial Finance and Capital Market in the New Millennium by Dr R.H. Patil (7 November 2000) - Indian Liberals	
the-chinese-economic-experiment-lessons-for-india-j-h-doshi-november-16-1978	exact	the-chinese-economic-experiment-lessons-for-india-j-h-doshi-november-16-1978	https://indianliberals.in/forum-of-free-enterprise/the-chinese-economic-experiment-lessons-for-india-j-h-doshi-november-16-1978.pdf	The Chinese Economic Experiment: Lessons for India	The Chinese Economic Experiment: Lessons For India by J. H. Doshi (November 16, 1978) - Indian Liberals	
