md_slug	confidence	prod_slug	pdf_url	md_title	prod_title	notes
european-economic---money-integration-s-l-n-sinha	exact	european-economic-monetary-integration-by-s-l-n-sinha-september-1999	https://indianliberals.in/forum-of-free-enterprise/european-economic-&-money-integration-s-l-n-sinha.pdf	EUROPEAN ECONOMIC & MONETARY INTEGRATION	European Economic & Monetary Integration by S.L.N. Sinha (September 1999) - Indian Liberals	manual rescue (top1=100, original miss)
federa-lfinancial-relations-k-santhanam-dec11-1968	exact	federal-financial-relations-in-india-by-k-santhanam-december-11-1968	https://indianliberals.in/forum-of-free-enterprise/federal-financial-relations-k-santhanam-december-11-1968.pdf	Federal Financial Relations in India	Federal Financial Relations in India by K. Santhanam (December 11, 1968) - Indian Liberals	manual rescue (top1=100, original miss)
finance-and-industry-in-india-a-d-shroff-october-10-1964	exact	finance-and-industry-in-india-by-a-d-shroff-10-october-1964	https://indianliberals.in/forum-of-free-enterprise/finance-and-industry-in-india-a-d-shroff-october-10-1964.pdf	FINANCE AND INDUSTRY IN INDIA	Finance and Industry in India by A.D. Shroff (10 October 1964) - Indian Liberals	manual rescue (top1=100, original miss)
food-and-environment-walking-a-tightrope-by-dr-na-swaminathan-jan-2001	exact	food-and-environment-walking-the-tightrope-by-dr-m-s-swaminathan-january-20-2001	https://indianliberals.in/forum-of-free-enterprise/food-and-environment-walking-a-tightrope-by-dr-na-swaminathan-jan-2001.pdf	FOOD AND ENVIRONMENT – WALKING THE TIGHTROPE	Food and Environment -Walking the Tightrope by Dr. M.S Swaminathan (January 20, 2001) - Indian Liberals	manual rescue (top1=100, original miss)
food-crisis-in-india-causes-and-cure-b-r-shenoy-m-a-sreenivasan-15-february-1975	exact	food-crisis-in-india-causes-and-cure-by-prof-b-r-shenoy-and-m-a-sreenivasan-15-february-1975	https://indianliberals.in/forum-of-free-enterprise/food-crisis-in-india-causes-and-cure-b-r-shenoy-m-a-sreenivasan-15-february-1975.pdf	FOOD CRISIS IN INDIA — CAUSES & CURE	Food Crisis in India - Causes and Cure by Prof B. R. Shenoy and M. A. Sreenivasan (15 February 1975) - Indian Liberals	manual rescue (top1=100, original miss)
foreign-exchange-crisis-and-the-way-out-a-d-shroff-feb5-1962	exact	foreign-exchange-crisis-and-the-way-out-by-a-d-shroff-others-feb-5-1962	https://indianliberals.in/forum-of-free-enterprise/foreign-exchange-crisis-and-the-way-out-a-d-shroff-feb5-1962.pdf	FOREIGN EXCHANGE CRISIS — THE WAY OUT	Foreign Exchange Crisis and the Way Out by A. D. Shroff & Others (February 5, 1962) - Indian Liberals	manual rescue (top1=100, original miss)
foreign-institutional-investors-in-india-by-gr-parrikar-and-rg-katoti-november-1994	exact	foreign-institutional-investors-in-india-by-g-r-parrikar-and-r-g-katoti-november-1994	https://indianliberals.in/forum-of-free-enterprise/foreign-institutional-investors-in-india-by-gr-parrikar-and-rg-katoti-november-1994.pdf	FOREIGN INSTITUTIONAL INVESTORS IN INDIA	Foreign Institutional Investors in India by G.R. Parrikar and R.G. Katoti (November, 1994) - Indian Liberals	manual rescue (top1=100, original miss)
from-the-industrial-age-to-the-information-age-by-bardley-d-belt	exact	from-the-industrial-age-to-the-information-age-rethinking-he-regulation-of-securities-markets-by-bradley-d-belt	https://indianliberals.in/forum-of-free-enterprise/from-the-industrial-age-to-the-information-age-by-bardley-d-belt.pdf	FROM THE INDUSTRIAL AGE TO THE INFORMATION AGE	From the industrial Age to the Information Age: Rethinking he regulation of securities markets by Bradley D. Belt - Indian Liberals	manual rescue (top1=100, original miss)
indian-banks-and-the-prevention-of-corruption-act-freedom-and-discipline-ar-ashima-goyal	exact	indian-banks-and-the-prevention-of-corruption-act-freedom-and-discipline-by-dr-ashima-goyal-november-2018	https://indianliberals.in/forum-of-free-enterprise/indian-banks-and-the-prevention-of-corruption-act-freedom-and-discipline-ar-ashima-goyal.pdf	Indian Banks and The Prevention of Corruption Act : Freedom and Discipline	Indian Banks and The Prevention of Corruption Act: Freedom and Discipline by Dr. Ashima Goyal (November 2018) - Indian Liberals	manual rescue (top1=100, original miss)
indian-economic-development-1950-1980-an-assessment-by-dr-rm-honavar	exact	indian-economic-development-1950-1980-an-assessment-by-dr-r-m-honavar-october-1981	https://indianliberals.in/forum-of-free-enterprise/indian-economic-development-1950-1980-an-assessment-by-dr-rm-honavar.pdf	Indian Economic Development 1950-1980: An Assessment	Indian Economic Development 1950-1980 : An Assessment by Dr. R. M. Honavar (October 1981) - Indian Liberals	manual rescue (top1=100, original miss)
indias-jobless-growth-dr-s-d-naik	exact	indias-jobless-growth-by-dr-s-d-naik-june-2018	https://indianliberals.in/forum-of-free-enterprise/indias-jobless-growth-dr-s-d-naik.pdf	India's Jobless Growth	India's Jobless Growth by Dr. S.D. Naik (June 2018) - Indian Liberals	manual rescue (top1=100, original miss)
infrastructure-public-goods-and-markets-kirit-s-parekh	exact	infrastructure-public-goods-and-markets-by-kirit-s-parekh-july-18-1999	https://indianliberals.in/forum-of-free-enterprise/infrastructure-public-goods-and-markets-kirit-s-parekh.pdf	Infrastructure, Public Goods and Markets	Infrastructure, Public Goods and Markets by Kirit S. Parekh (July 18, 1999) - Indian Liberals	manual rescue (top1=100, original miss)
is-nationalisation-of-industries-in-public-interest-gangadhar-gadgil-june-18-1979	exact	is-nationalisation-of-industries-in-public-interest-by-prof-gangadhar-gadgil-june-18-1979	https://indianliberals.in/forum-of-free-enterprise/is-nationalisation-of-industries-in-public-interest-gangadhar-gadgil-june-18-1979.pdf	Is Nationalisation of Industries in Public Interest?	Is Nationalisation Of Industries In Public Interest? By Prof. Gangadhar Gadgil (June 18, 1979) - Indian Liberals	manual rescue (top1=100, original miss)
land-reform-kae-jee-feb6-1958	exact	land-reform-by-kae-jee-feb-6-1958	https://indianliberals.in/forum-of-free-enterprise/land-reform-kae-jee-feb6-1958.pdf	LAND REFORM	Land Reform by "KAE JEE" (February 6, 1958) - Indian Liberals	manual rescue (top1=100, original miss)
limits-of-nationalisation-dr-john-matthai-january-1-1970	exact	limits-of-nationalisation-by-dr-john-matthai-january-1-1970	https://indianliberals.in/forum-of-free-enterprise/limits-of-nationalisation-dr-john-matthai-january-1-1970.pdf	LIMITS OF NATIONALISATION	Limits of Nationalisation by Dr. John Matthai (January 1, 1970) - Indian Liberals	manual rescue (top1=100, original miss)
modern-technology-for-economic-development-14-june-1976	exact	modern-technology-for-economic-development-by-prof-s-sampath-14-june-1976	https://indianliberals.in/forum-of-free-enterprise/modern-technology-for-economic-development-14-june-1976.pdf	Modern Technology for Economic Development	Modern Technology for Economic Development by Prof. S. Sampath (14 June 1976) - Indian Liberals	manual rescue (top1=100, original miss)
new-taxation-proposals-january-1-1970	exact	new-taxation-proposals-by-a-d-shroff-january-1-1970	https://indianliberals.in/forum-of-free-enterprise/new-taxation-proposals-january-1-1970.pdf	NEW TAXATION PROPOSALS	New Taxation Proposals by A.D.Shroff (January 1, 1970) - Indian Liberals	manual rescue (top1=100, original miss)
no-verve-in-budget-proposals-by-hp-raina	exact	no-verve-in-budget-proposals-by-h-p-raina	https://indianliberals.in/forum-of-free-enterprise/no-verve-in-budget-proposals-by-hp-raina.pdf	NO VERVE IN BUDGET PROPOSALS	No Verve in Budget Proposals by H. P. Raina - Indian Liberals	manual rescue (top1=100, original miss)
