md_slug	score	via	local_stem	local_publisher	predicted_url	http_status	md_title	md_year
inflation-in-india-1964-1975-january-1975	100.0	title	inflation-in-India-1964-1975-january-1975	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/inflation-in-India-1964-1975-january-1975.pdf	200	INFLATION IN INDIA	1972
inflation-in-india-l-g-bapat	100.0	slug	inflation-in-india-l-g-bapat	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/inflation-in-india-l-g-bapat.pdf	200	INFLATION IN INDIA	1972
internationalization-of-indian-business-m-k-raju-january-12-1980	100.0	slug	internationalization-of-indian-business-m-k-raju-january-12-1980	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/internationalization-of-indian-business-m-k-raju-january-12-1980.pdf	200	INTERNATIONALISATION OF INDIAN BUSINESS	1980
is-india-ready-for-challenge-of-1980s-j-h-doshi-november-15-1979	100.0	title	is-india-ready-for-challenge-of-1980s-j-h-doshi-november-15-1979	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/is-india-ready-for-challenge-of-1980s-j-h-doshi-november-15-1979.pdf	200	Is India Ready for Challenge of 1980s?	1979
jagtik-vayapar-sangtanecha-onama	100.0	title	jagtik-vayapar-sangtanecha-onama	marathi	https://indianliberals.in/marathi/jagtik-vayapar-sangtanecha-onama.pdf	200	Jagtik Vayapar Sangtanecha Onama	2016
joint-sector-some-issues-by-minoo-shroff-1972	100.0	slug	joint-sector-some-issues-by-minoo-shroff-1972	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/joint-sector-some-issues-by-minoo-shroff-1972.pdf	200	JOINT SECTOR—SOME ISSUES	1973
jug-badlanari-pustake-by-sharad-joshi	100.0	title	jug-badlanari-pustake-sharad-joshi	marathi	https://indianliberals.in/marathi/jug-badlanari-pustake-sharad-joshi.pdf	200	'Jug Badlanari Pustake' by Sharad Joshi	2016
khoj-january-april-2009	100.0	slug	khoj-january-april-2009	gujarati	https://indianliberals.in/gujarati/khoj-january-april-2009.pdf	200	ખોજ	2009
khoj-january-february-2007	100.0	slug	khoj-january-february-2007	gujarati	https://indianliberals.in/gujarati/khoj-january-february-2007.pdf	200	ખોજ	2007
khoj-january-february-2008	100.0	title	khoj-january-february-2008	gujarati	https://indianliberals.in/gujarati/khoj-january-february-2008.pdf	200	Khoj : January - February, 2008	2015
khoj-january-february-2010	100.0	title	khoj-january-february-2010	gujarati	https://indianliberals.in/gujarati/khoj-january-february-2010.pdf	200	Khoj : January - February, 2010	2015
khoj-july-august-2005	100.0	title	khoj-july-august-2005	gujarati	https://indianliberals.in/gujarati/khoj-july-august-2005.pdf	200	Khoj : July - August, 2005	2015
khoj-july-august-2006	100.0	title	khoj-july-august-2006	gujarati	https://indianliberals.in/gujarati/khoj-july-august-2006.pdf	200	Khoj : July - August, 2006	2015
khoj-july-october-2008	100.0	title	khoj-july-october-2008	gujarati	https://indianliberals.in/gujarati/khoj-july-october-2008.pdf	200	Khoj : July - October, 2008	2015
khoj-march-april-2005	100.0	title	khoj-march-april-2005	gujarati	https://indianliberals.in/gujarati/khoj-march-april-2005.pdf	200	Khoj : March-April, 2005	2015
khoj-march-april-2006	100.0	title	khoj-march-april-2006	gujarati	https://indianliberals.in/gujarati/khoj-march-april-2006.pdf	200	Khoj : March - April, 2006	2015
khoj-march-april-2007	100.0	title	khoj-march-april-2007	gujarati	https://indianliberals.in/gujarati/khoj-march-april-2007.pdf	200	Khoj : March - April, 2007	2015
khoj-march-april-2008	100.0	title	khoj-march-april-2008	gujarati	https://indianliberals.in/gujarati/khoj-march-april-2008.pdf	200	Khoj : March - April, 2008	2015
khoj-march-april-2010	100.0	title	khoj-march-april-2010	gujarati	https://indianliberals.in/gujarati/khoj-march-april-2010.pdf	200	Khoj : March - April, 2010	2015
khoj-may-june-2005	100.0	title	khoj-may-june-2005	gujarati	https://indianliberals.in/gujarati/khoj-may-june-2005.pdf	200	Khoj : May-June, 2005	2015
khoj-may-june-2006	100.0	title	khoj-may-june-2006	gujarati	https://indianliberals.in/gujarati/khoj-may-june-2006.pdf	200	Khoj : May - June, 2006	2015
khoj-may-june-2008	100.0	title	khoj-may-june-2008	gujarati	https://indianliberals.in/gujarati/khoj-may-june-2008.pdf	200	Khoj : May - June, 2008	2015
khoj-may-june-2009	100.0	title	khoj-may-june-2009	gujarati	https://indianliberals.in/gujarati/khoj-may-june-2009.pdf	200	Khoj : May - June, 2009	2015
khoj-november-december-2009	100.0	title	khoj-november-december-2009	gujarati	https://indianliberals.in/gujarati/khoj-november-december-2009.pdf	200	Khoj : November - December, 2009	2015
khoj-september-october-2007	100.0	title	khoj-september-october-2007	gujarati	https://indianliberals.in/gujarati/khoj-september-october-2007.pdf	200	Khoj : September - October, 2007	2015
khoj-september-october-2010	100.0	title	khoj-september-october-2010	gujarati	https://indianliberals.in/gujarati/khoj-september-october-2010.pdf	200	Khoj : September - October, 2010	2015
khulya-vayvasthekade-khulya-manane	100.0	title	khulya-vayvasthekade-khulya-manane	marathi	https://indianliberals.in/marathi/khulya-vayvasthekade-khulya-manane.pdf	200	'Khulya Vayvasthekade Khulya Manane'	2016
liberal-budget-reforms-for-poor	100.0	slug	liberal-budget-reforms-for-poor	indian-liberal-group	https://indianliberals.in/indian-liberal-group/liberal-budget-reforms-for-poor.pdf	200	Taking Reforms to the Poor	2007
liberalism-in-south-asia	100.0	title	liberalism-in-south-asia	liberal-times	https://indianliberals.in/liberal-times/liberalism-in-south-asia.pdf	200	Liberalism in South Asia	1995
madhyatil-angar-by-sharad-joshi	100.0	title	madhyatil-angar-sharad-joshi	marathi	https://indianliberals.in/marathi/madhyatil-angar-sharad-joshi.pdf	200	'Madhyatil Angar' by Sharad Joshi	2016
majya-setkari-bhavana-mai-bahini-no-by-sharad-joshi	100.0	title	majya-setkari-bhavana-mai-bahini-no-sharad-joshi	marathi	https://indianliberals.in/marathi/majya-setkari-bhavana-mai-bahini-no-sharad-joshi.pdf	200	'Majya Setkari Bhavana Mai Bahini No' by Sharad Joshi	2016
manifesto-1985	100.0	slug	manifesto-1985	indian-liberal-group	https://indianliberals.in/indian-liberal-group/manifesto-1985.pdf	200	Manifesto for Indian Liberals	1985
market-by-the-dock-by-pt-bauer-january-1981	100.0	title	market-by-the-dock-by-pt-bauer-january-1981	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/market-by-the-dock-by-pt-bauer-january-1981.pdf	200	market-by-the-dock-by-pt-bauer-january-1981	
plans-and-perspectives-by-bg-verghese-january-8-1961	100.0	title	plans-and-perspectives-by-bg-verghese-january-8-1961	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/plans-and-perspectives-by-bg-verghese-january-8-1961.pdf	200	Plans and Perspectives	1961
prachalit-arthavyavsthevar-nava-prakash-by-sharad-joshi	100.0	title	prachalit-arthavyavsthevar-nava-prakash-sharad-joshi	marathi	https://indianliberals.in/marathi/prachalit-arthavyavsthevar-nava-prakash-sharad-joshi.pdf	200	'Prachalit Arthavyavsthevar: Nava Prakash' by Sharad Joshi	2016
ramtanu-lahiri-o-tatkalin-bangosamaj-sivanath-sastri	100.0	title	ramtanu-lahiri-o-tatkalin-bangosamaj-sivanath-sastri	bengali	https://indianliberals.in/bengali/ramtanu-lahiri-o-tatkalin-bangosamaj-sivanath-sastri.pdf	200	Ramtanu Lahiri O Tatkalin Bangosamaj	1904
report-second-national-convention-mangalore-feburary-18-20-2005-july-2005	100.0	slug	report-second-national-convention-mangalore-feburary-18-20-2005-july-2005	liberals	https://indianliberals.in/liberals/report-second-national-convention-mangalore-feburary-18-20-2005-july-2005.pdf	200	Report	2005
samasyayen-bharat-ki	100.0	slug	samasyayen-bharat-ki	liberals	https://indianliberals.in/liberals/samasyayen-bharat-ki.pdf	200	समस्याएँ भारत की	1988
satyamev-jayate-volume-1-collection-of-writings-from-swarajya	100	exact-slug	satyamev-jayate-volume-1-collection-of-writings-from-swarajya	liberals	https://indianliberals.in/liberals/satyamev-jayate-volume-1-collection-of-writings-from-swarajya.pdf	200	SATYAM EVA JAYATE	
sheti-vayavsayavaril-arishit-by-shesrav-mohite	100.0	title	sheti-vayavsayavaril-arishit-shesrav-mohite	marathi	https://indianliberals.in/marathi/sheti-vayavsayavaril-arishit-shesrav-mohite.pdf	200	'Sheti Vayavsayavaril Arishit' by Shesrav Mohite	2016
shetkari-sanghatak-april-21-1992	100.0	slug	shetkari-sanghatak-april-21-1992	shetkari-sanghatak	https://indianliberals.in/shetkari-sanghatak/shetkari-sanghatak-april-21-1992.pdf	200	शेतकरी संघटक	1992
shetkari-sanghatana-vichar-aani-karyapadthdti-by-sharad-joshi	100.0	title	shetkari-sanghatana-vichar-aani-karyapadthdti-sharad-joshi	marathi	https://indianliberals.in/marathi/shetkari-sanghatana-vichar-aani-karyapadthdti-sharad-joshi.pdf	200	'Shetkari Sanghatana: Vichar Aani Karyapadthdti' by Sharad Joshi	2016
shetkari-sanghtana-rajkiya-bhumika-by-ajit-narde	100.0	title	shetkari-sanghtana-rajkiya-bhumika-ajit-narde	marathi	https://indianliberals.in/marathi/shetkari-sanghtana-rajkiya-bhumika-ajit-narde.pdf	200	'Shetkari Sanghtana - Rajkiya Bhumika' by Ajit Narde	2016
swatantrabh-ka-nasle-by-sharad-joshi	100.0	title	swatantrabh-ka-nasle-sharad-joshi	marathi	https://indianliberals.in/marathi/swatantrabh-ka-nasle-sharad-joshi.pdf	200	'Swatantrabh ka Nasle' by Sharad Joshi	2016
the-vice-of-child-marriages-by-ishwar-chandra-vidyasagar	100.0	title	the-vice-of-child-marriages-by-ishwar-chandra-vidyasagar	bengali	https://indianliberals.in/bengali/the-vice-of-child-marriages-by-ishwar-chandra-vidyasagar.pdf	200	The Vice of Child Marriages	1850
tibetans-in-exile	100.0	slug	tibetans-in-exile	liberal-times	https://indianliberals.in/liberal-times/tibetans-in-exile.pdf	200	Liberal Times	1995
udarwad-raj-samaj-aur-bazaar-ka-naya-paath	100.0	title	udarwad-raj-samaj-aur-bazaar	hindi	https://indianliberals.in/hindi/udarwad-raj-samaj-aur-bazaar.pdf	200	Udarwad: Raj, Samaj Aur Bazaar Ka Naya Paath	2015
udarwad-raj-samaj-aur-bazaar	100.0	slug	udarwad-raj-samaj-aur-bazaar	hindi	https://indianliberals.in/hindi/udarwad-raj-samaj-aur-bazaar.pdf	200	उदारवाद	2006
vedepir-by-anant-umrikar	100.0	title	vedepir-anant-umrikar	marathi	https://indianliberals.in/marathi/vedepir-anant-umrikar.pdf	200	'Vedepir' by Anant Umrikar	2016
khoj-november-december-2008	96.29629629629629	title	khoj-november-december-2009	gujarati	https://indianliberals.in/gujarati/khoj-november-december-2009.pdf	200	Khoj : November - December, 2008	2015
khoj-novemver-december-2007	96.29629629629629	title	khoj-november-december-2007	gujarati	https://indianliberals.in/gujarati/khoj-november-december-2007.pdf	200	Khoj : Novemver - December, 2007	2015
khoj-januray-february-2007	96.15384615384616	title	khoj-january-february-2007	gujarati	https://indianliberals.in/gujarati/khoj-january-february-2007.pdf	200	Khoj : Januray - February, 2007	2015
khoj-july-august-2007	95.23809523809524	title	khoj-july-august-2006	gujarati	https://indianliberals.in/gujarati/khoj-july-august-2006.pdf	200	Khoj : July - August, 2007	2015
khoj-july-august-2009	95.23809523809524	title	khoj-july-august-2006	gujarati	https://indianliberals.in/gujarati/khoj-july-august-2006.pdf	200	Khoj : July - August, 2009	2015
artha-to-sangto-punha-by-sharad-joshi	94.28571428571429	title	artha-to-sagto-punha-sharad-joshi	marathi	https://indianliberals.in/marathi/artha-to-sagto-punha-sharad-joshi.pdf	200	Artha to Sangto Punha by Sharad Joshi	2016
khoj-may-august-2010	82.92682926829268	title	khoj-july-august-2006	gujarati	https://indianliberals.in/gujarati/khoj-july-august-2006.pdf	200	Khoj : May - August, 2010	2015
khoj-november-february-2006	81.48148148148148	title	khoj-november-december-2006	gujarati	https://indianliberals.in/gujarati/khoj-november-december-2006.pdf	200	Khoj : November - February, 2006	2015
doan-pavlant-bali-patalat-by-anant-umrikar	76.47058823529412	title	vedepir-anant-umrikar	marathi	https://indianliberals.in/marathi/vedepir-anant-umrikar.pdf	200	'Doan Pavlant Bali Patalat' by Anant Umrikar	2016
bharta-sathi-by-sharad-joshi	72.1311475409836	title	artha-to-sagto-punha-sharad-joshi	marathi	https://indianliberals.in/marathi/artha-to-sagto-punha-sharad-joshi.pdf	200	Bharta Sathi by Sharad Joshi	2016
poshidhanchi-loksahi-by-sharad-joshi	70.58823529411765	title	angarmala-sharad-joshi	marathi	https://indianliberals.in/marathi/angarmala-sharad-joshi.pdf	200	'Poshidhanchi Loksahi' by Sharad Joshi	2016
shetakanyachi-raje-shivaji-by-sharad-joshi	70.58823529411765	title	angarmala-sharad-joshi	marathi	https://indianliberals.in/marathi/angarmala-sharad-joshi.pdf	200	'Shetakanyachi Raje Shivaji' by Sharad Joshi	2016
anavyartha-1	61.111111111111114	title	anvyartha-1-sharad-joshi	marathi	https://indianliberals.in/marathi/anvyartha-1-sharad-joshi.pdf	200	Anavyartha: 1	2016
anavyartha-2	61.111111111111114	title	anvyartha-2-sharad-joshi	marathi	https://indianliberals.in/marathi/anvyartha-2-sharad-joshi.pdf		Anavyartha: 2	2016
yodha-shetkari-by-vijay-prulkar	54.83870967741935	title	shetkari-sanghatak-april-6-1992	shetkari-sanghatak	https://indianliberals.in/shetkari-sanghatak/shetkari-sanghatak-april-6-1992.pdf		Yodha Shetkari by Vijay Prulkar	2016
